 #M_ecl   m_max
   29046.7520       147.910858    
   29606.6191       147.910858    
   30177.2441       147.910858    
   30758.9023       147.910858    
   31351.7715       147.910858    
   31956.0312       147.910858    
   32571.9746       147.910858    
   33199.7539       147.910858    
   33839.6680       147.910858    
   34491.8789       147.910858    
   35156.6992       147.910858    
   35834.2969       150.000000    
   36524.9922       150.000000    
   37228.9570       150.000000    
   37946.5352       150.000000    
   38677.9453       150.000000    
   39423.4062       150.000000    
   40183.2812       150.000000    
   40957.7578       150.000000    
   41747.2031       150.000000    
   42551.8242       150.000000    
   43371.9961       150.000000    
   44207.9297       150.000000    
   45060.0234       150.000000    
   45928.5430       150.000000    
   46813.7500       150.000000    
   47716.0703       150.000000    
   48635.7305       150.000000    
   49573.1719       150.000000    
   50528.6250       150.000000    
   51502.5469       150.000000    
   52495.1875       150.000000    
   53507.0156       150.000000    
   54538.2852       150.000000    
   55589.4961       150.000000    
   56660.9023       150.000000    
   57753.0273       150.000000    
   58866.1328       150.000000    
   60000.7617       150.000000    
   61157.2578       150.000000    
   62335.9766       150.000000    
   63537.4844       150.000000    
   64762.0781       150.000000    
   66010.3516       150.000000    
   67282.6016       150.000000    
   68579.4531       150.000000    
   69901.2266       150.000000    
   71248.5547       150.000000    
   72621.7656       150.000000    
   74021.5312       150.000000    
   75448.2734       150.000000    
   76902.4297       150.000000    
   78384.7031       150.000000    
   79895.4609       150.000000    
   81435.4219       150.000000    
   83004.9688       150.000000    
   84604.8672       150.000000    
   86235.5078       150.000000    
   87897.6719       150.000000    
   89591.8672       150.000000    
   91318.6250       150.000000    
   93078.7656       150.000000    
   94872.7266       150.000000    
   96701.3672       150.000000    
   98565.1484       150.000000    
   100464.969       150.000000    
   102401.281       150.000000    
   104375.039       150.000000    
   106386.836       150.000000    
   108437.289       150.000000    
   110527.391       150.000000    
   112657.648       150.000000    
   114829.086       150.000000    
   117042.258       150.000000    
   119298.211       150.000000    
   121597.516       150.000000    
   123941.273       150.000000    
   126330.062       150.000000    
   128765.039       150.000000    
   131246.938       150.000000    
   133776.547       150.000000    
   136355.047       150.000000    
   138983.094       150.000000    
   141661.953       150.000000    
   144392.281       150.000000    
   147175.406       150.000000    
   150012.000       150.000000    
   152903.438       150.000000    
   155850.609       150.000000    
   158854.406       150.000000    
   161916.281       150.000000    
   165036.984       150.000000    
   168218.016       150.000000    
   171460.188       150.000000    
   174765.031       150.000000    
   178133.375       150.000000    
   181566.844       150.000000    
   185066.281       150.000000    
   188633.391       150.000000    
   192269.234       150.000000    
   195974.953       150.000000    
   199752.312       150.000000    
   203602.250       150.000000    
   207526.625       150.000000    
   211526.406       150.000000    
   215603.516       150.000000    
   219758.969       150.000000    
   223994.750       150.000000    
   228312.188       150.000000    
   232712.578       150.000000    
   237198.047       150.000000    
   241769.703       150.000000    
   246429.734       150.000000    
   251179.328       150.000000    
   256020.734       150.000000    
   260955.156       150.000000    
   265985.000       150.000000    
   271111.469       150.000000    
   276337.062       150.000000    
   281663.375       150.000000    
   287092.062       150.000000    
   292625.656       150.000000    
   298265.594       150.000000    
   304014.594       150.000000    
   309874.031       150.000000    
   315846.750       150.000000    
   321934.250       150.000000    
   328139.438       150.000000    
   334464.250       150.000000    
   340910.562       150.000000    
   347481.500       150.000000    
   354178.719       150.000000    
   361005.406       150.000000    
   367963.281       150.000000    
   375055.656       150.000000    
   382284.312       150.000000    
   389652.750       150.000000    
   397163.188       150.000000    
   404817.938       150.000000    
   412620.688       150.000000    
   420573.375       150.000000    
   428679.781       150.000000    
   436941.969       150.000000    
   445363.906       150.000000    
   453947.656       150.000000    
   462697.375       150.000000    
   471615.219       150.000000    
   480705.438       150.000000    
   489970.906       150.000000    
   499414.406       150.000000    
   509040.469       150.000000    
   518851.500       150.000000    
   528852.188       150.000000    
   539045.062       150.000000    
   549435.000       150.000000    
   560024.562       150.000000    
   570818.875       150.000000    
   581821.250       150.000000    
   593035.062       150.000000    
   604465.625       150.000000    
