 #M_ecl   m_max
   606520.500       150.000000    
   614931.812       150.000000    
   623459.000       150.000000    
   632104.500       150.000000    
   640869.875       150.000000    
   649756.750       150.000000    
   658766.938       150.000000    
   667902.000       150.000000    
   677163.812       150.000000    
   686554.750       150.000000    
   696075.188       150.000000    
   705727.625       150.000000    
   715513.875       150.000000    
   725435.875       150.000000    
   735495.500       150.000000    
   745694.562       150.000000    
   756035.062       150.000000    
   766519.812       150.000000    
   777149.125       150.000000    
   787925.812       150.000000    
   798851.938       150.000000    
   809929.562       150.000000    
   821160.875       150.000000    
   832547.875       150.000000    
   844093.688       150.000000    
   855798.688       150.000000    
   867666.000       150.000000    
   879697.875       150.000000    
   891896.625       150.000000    
   904264.500       150.000000    
   916803.938       150.000000    
   929517.188       150.000000    
   942407.812       150.000000    
   955476.125       150.000000    
   968725.688       150.000000    
   982158.938       150.000000    
   995778.500       150.000000    
   1009586.94       150.000000    
   1023586.81       150.000000    
   1037780.88       150.000000    
   1052172.88       150.000000    
   1066763.25       150.000000    
   1081556.00       150.000000    
   1096554.00       150.000000    
   1111759.75       150.000000    
   1127176.50       150.000000    
   1142807.00       150.000000    
   1158655.62       150.000000    
   1174722.62       150.000000    
   1191012.38       150.000000    
   1207528.12       150.000000    
   1224272.88       150.000000    
   1241249.75       150.000000    
   1258462.12       150.000000    
   1275913.25       150.000000    
   1293607.62       150.000000    
   1311546.00       150.000000    
   1329733.25       150.000000    
   1348172.50       150.000000    
   1366867.62       150.000000    
   1385821.88       150.000000    
   1405039.00       150.000000    
   1424522.62       150.000000    
   1444278.00       150.000000    
   1464305.75       150.000000    
   1484611.25       150.000000    
   1505198.25       150.000000    
   1526070.75       150.000000    
   1547232.75       150.000000    
   1568688.12       150.000000    
   1590441.12       150.000000    
   1612497.38       150.000000    
   1634857.88       150.000000    
   1657528.38       150.000000    
   1680513.25       150.000000    
   1703816.88       150.000000    
   1727443.62       150.000000    
   1751398.00       150.000000    
   1775686.50       150.000000    
   1800309.88       150.000000    
